"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test52","exit 1","0.41","2026-06-03 00:37:00","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test53","exit 1","0.39","2026-06-03 00:37:00","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test54","exit 1","0.4","2026-06-03 00:37:01","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test55","exit 1","0.4","2026-06-03 00:37:01","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test56","exit 1","0.39","2026-06-03 00:37:01","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test57","exit 1","0.39","2026-06-03 00:37:02","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test58","exit 1","0.4","2026-06-03 00:37:02","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test59","exit 1","0.41","2026-06-03 00:37:03","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test60","exit 1","0.4","2026-06-03 00:37:03","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test61","exit 1","0.41","2026-06-03 00:37:03","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test62","exit 1","0.4","2026-06-03 00:37:04","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test63","exit 1","0.4","2026-06-03 00:37:04","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test64","exit 1","0.41","2026-06-03 00:37:05","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test65","exit 1","0.41","2026-06-03 00:37:05","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test66","exit 1","0.41","2026-06-03 00:37:06","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test67","exit 1","0.39","2026-06-03 00:37:06","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test68","exit 1","0.41","2026-06-03 00:37:06","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test69","exit 1","0.39","2026-06-03 00:37:07","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test70","exit 1","0.39","2026-06-03 00:37:07","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test71","exit 1","0.41","2026-06-03 00:37:08","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
