"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test51","failed","1.5","2026-06-01 17:31:00","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test52","failed","1.48","2026-06-01 17:31:01","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test53","failed","1.47","2026-06-01 17:31:03","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test54","failed","1.58","2026-06-01 17:31:04","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test55","failed","1.63","2026-06-01 17:31:06","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test56","failed","1.48","2026-06-01 17:31:07","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test57","failed","1.68","2026-06-01 17:31:09","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test58","failed","1.65","2026-06-01 17:31:11","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test59","failed","1.56","2026-06-01 17:31:12","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test60","failed","1.73","2026-06-01 17:31:14","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test61","failed","1.89","2026-06-01 17:31:16","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test62","failed","1.68","2026-06-01 17:31:18","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test63","failed","1.61","2026-06-01 17:31:19","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test64","failed","1.59","2026-06-01 17:31:21","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test65","failed","1.54","2026-06-01 17:31:22","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test66","failed","1.65","2026-06-01 17:31:24","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test67","failed","1.84","2026-06-01 17:31:26","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test68","failed","1.82","2026-06-01 17:31:28","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test69","failed","1.52","2026-06-01 17:31:29","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test70","failed","1.52","2026-06-01 17:31:31","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test71","failed","2.22","2026-06-01 17:31:33","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test72","failed","2.26","2026-06-01 17:31:35","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test73","failed","2.63","2026-06-01 17:31:38","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test74","failed","2.28","2026-06-01 17:31:40","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test75","failed","2.11","2026-06-01 17:31:42","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test76","failed","1.82","2026-06-01 17:31:44","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test77","failed","2.24","2026-06-01 17:31:47","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test78","failed","2.15","2026-06-01 17:31:49","APP_INTERNAL_ERROR","0","0","0","8","8","8","8","true","0","0","7"
"test79","failed","2.46","2026-06-01 17:31:51","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test80","failed","2.63","2026-06-01 17:31:54","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test81","failed","2.42","2026-06-01 17:31:56","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test82","failed","2.28","2026-06-01 17:31:59","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test83","failed","2.26","2026-06-01 17:32:01","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test84","failed","2.22","2026-06-01 17:32:03","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test85","failed","2.23","2026-06-01 17:32:05","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test86","failed","2.34","2026-06-01 17:32:08","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test87","failed","2.31","2026-06-01 17:32:10","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test88","failed","2.3","2026-06-01 17:32:12","APP_INTERNAL_ERROR","0","0","0","8","8","8","8","true","0","0","7"
"test89","failed","2.19","2026-06-01 17:32:15","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test90","failed","2.57","2026-06-01 17:32:17","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test91","failed","2.48","2026-06-01 17:32:20","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test92","failed","2.5","2026-06-01 17:32:22","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test93","failed","2.31","2026-06-01 17:32:25","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test94","failed","2.3","2026-06-01 17:32:27","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test95","failed","2.46","2026-06-01 17:32:30","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test96","failed","2.29","2026-06-01 17:32:32","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test97","failed","2.05","2026-06-01 17:32:34","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test98","failed","2.17","2026-06-01 17:32:36","APP_INTERNAL_ERROR","0","0","0","8","8","8","8","true","0","0","7"
"test99","failed","2.1","2026-06-01 17:32:38","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test100","failed","1.4","2026-06-01 17:29:57","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
