Case,Status,Seconds,LastRun,FailureType,Tokens,PromptTokens,CompletionTokens,RequestCount,ResponseCount,EndCount,LastResponseId,Complete,UnknownCount,FailCount,InternalErrorCount
test01,ok,5.37,2026-05-30 14:50:00,,3519,3476,43,3,3,3,3,true,0,0,0
test02,ok,7.25,2026-05-30 14:50:07,,5823,5766,57,4,4,4,4,true,0,0,0
test03,ok,6.71,2026-05-30 14:50:14,,4463,4401,62,4,4,4,4,true,0,0,0
test04,ok,5.99,2026-05-30 14:50:20,,5668,5606,62,4,4,4,4,true,0,0,0
test05,ok,6.99,2026-05-30 14:50:27,,6292,6197,95,4,4,4,4,true,0,0,0
test06,ok,8.89,2026-05-30 14:50:35,,8080,7996,84,5,5,5,5,true,0,0,0
test07,ok,10.01,2026-05-30 14:50:45,,12345,12226,119,6,6,6,6,true,0,0,0
test08,ok,10.53,2026-05-30 14:50:56,,15057,14916,141,7,7,7,7,true,0,0,0
test09,ok,25.22,2026-05-30 14:51:21,,16406,16227,179,8,8,8,8,true,0,0,0
test10,ok,16,2026-05-30 14:51:37,,19877,19587,290,9,9,9,9,true,0,0,0
test11,ok,18.15,2026-05-30 14:52:08,,21914,21688,226,10,10,10,10,true,0,0,0
test12,ok,35.01,2026-05-30 14:52:43,,32914,32641,273,11,11,11,11,true,0,0,0
test13,ok,20.92,2026-05-30 14:53:04,,27453,27186,267,12,12,12,12,true,0,0,0
test14,ok,27.75,2026-05-30 14:53:32,,52635,52325,310,13,13,13,13,true,0,0,0
test15,ok,24.02,2026-05-30 14:53:56,,40528,40228,300,14,14,14,14,true,0,0,0
test16,ok,25.01,2026-05-30 14:54:21,,37243,36883,360,15,15,15,15,true,0,0,0
test17,ok,87.77,2026-05-30 14:55:49,,50418,45954,4464,16,16,16,16,true,0,0,0
test18,ok,29.9,2026-05-30 14:56:19,,70930,70541,389,17,17,17,17,true,0,0,0
test19,ok,30.44,2026-05-30 14:56:49,,64218,63809,409,18,18,18,18,true,0,0,0
test20,ok,34.61,2026-05-30 14:57:24,,64353,63929,424,19,19,19,19,true,0,0,0
test21,ok,6.78,2026-05-30 14:57:31,,8406,8327,79,5,5,5,5,true,0,0,0
test22,ok,10.18,2026-05-30 14:57:41,,11939,11848,91,6,6,6,6,true,0,0,0
test23,ok,11.65,2026-05-30 14:57:52,,14779,14675,104,7,7,7,7,true,0,0,0
test24,ok,32.4,2026-05-30 14:58:25,,18798,18671,127,8,8,8,8,true,0,0,0
test25,ok,14,2026-05-30 14:58:39,,20650,20489,161,9,9,9,9,true,0,0,0
test26,ok,19.43,2026-05-30 14:58:58,,25866,25705,161,10,10,10,10,true,0,0,0
test27,ok,27.69,2026-05-30 14:59:26,,29013,28836,177,11,11,11,11,true,0,0,0
test28,ok,31.37,2026-05-30 14:59:57,,25892,25735,157,10,10,10,10,true,0,0,0
test29,ok,24.18,2026-05-30 15:00:22,,29514,29339,175,11,11,11,11,true,0,0,0
test30,ok,16.99,2026-05-30 15:00:39,,28615,28445,170,11,11,11,11,true,0,0,0
test31,ok,58.19,2026-05-30 15:01:37,,79961,79513,448,20,20,20,20,true,0,0,0
test32,ok,127.77,2026-05-30 15:03:45,,81875,81443,432,20,20,20,20,true,0,0,0
test33,timeout,908.98,2026-05-30 15:18:54,TIMEOUT,0,0,0,20,14,14,14,false,0,0,0
test34,ok,93.52,2026-05-30 15:20:27,,64915,64519,396,20,20,20,20,true,0,0,0
test35,ok,485.08,2026-05-30 15:27:28,,63734,61358,342,20,20,20,20,true,0,1,0
test36,timeout,909.38,2026-05-30 15:42:38,TIMEOUT,0,0,0,20,5,5,5,false,0,0,0
test37,ok,151.87,2026-05-30 15:45:10,,65184,64820,364,20,20,20,20,true,0,0,0
test38,ok,39.68,2026-05-30 15:45:49,,59702,59314,388,20,20,20,20,true,0,0,0
test39,ok,117.6,2026-05-30 15:47:47,,72436,72102,334,20,20,20,20,true,0,0,0
test40,ok,315.17,2026-05-30 15:53:02,,64405,64059,346,20,20,20,20,true,0,0,0
test41,ok,11.35,2026-05-30 15:53:14,,12299,12170,129,7,7,7,7,true,0,0,0
test42,ok,10.79,2026-05-30 15:53:24,,11886,11736,150,7,7,7,7,true,0,0,0
test43,ok,10.8,2026-05-30 15:53:35,,11941,11792,149,7,7,7,7,true,0,0,0
test44,ok,11.27,2026-05-30 15:53:47,,11538,11439,99,7,7,7,7,true,0,0,0
test45,ok,11.08,2026-05-30 15:53:58,,13022,12905,117,7,7,7,7,true,0,0,0
