"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","6.06","2026-05-31 23:11:55","","3729","3690","39","3","3","3","3","true","0","0","0"
"test02","ok","7.43","2026-05-31 23:12:02","","5325","5272","53","4","4","4","4","true","0","0","0"
"test03","ok","5.9","2026-05-31 23:12:08","","4963","4905","58","4","4","4","4","true","0","0","0"
"test04","ok","6.67","2026-05-31 23:12:15","","5169","5111","58","4","4","4","4","true","0","0","0"
"test05","ok","7.27","2026-05-31 23:12:22","","5798","5703","95","4","4","4","4","true","0","0","0"
