"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","46.09","2026-05-30 00:28:53","","4825","4786","39","3","3","3","3","true","0","0","0"
"test02","ok","28.2","2026-05-30 00:29:21","","7216","7159","57","4","4","4","4","true","0","0","0"
"test03","ok","43.7","2026-05-30 00:30:05","","6854","6792","62","4","4","4","4","true","0","0","0"
"test04","ok","8.85","2026-05-30 00:30:14","","7221","7159","62","4","4","4","4","true","0","0","0"
"test05","ok","22.35","2026-05-30 00:30:36","","7765","7670","95","4","4","4","4","true","0","0","0"
"test06","ok","94.12","2026-05-30 00:32:10","","9812","9724","88","5","5","5","5","true","0","0","0"
"test07","ok","10.98","2026-05-30 00:32:21","","14889","14770","119","6","6","6","6","true","0","0","0"
"test08","ok","27.96","2026-05-30 00:32:49","","18026","17433","593","7","7","7","7","true","0","0","0"
"test09","ok","57.75","2026-05-30 00:33:47","","18961","18652","309","8","8","8","8","true","0","0","0"
"test10","ok","17.75","2026-05-30 00:34:05","","22396","22200","196","9","9","9","9","true","0","0","0"
"test11","ok","123.27","2026-05-30 00:36:20","","24645","24419","226","10","10","10","10","true","0","0","0"
"test12","ok","80.83","2026-05-30 00:37:41","","39153","38893","260","11","11","11","11","true","0","0","0"
"test13","ok","98.83","2026-05-30 00:39:20","","29996","29729","267","12","12","12","12","true","0","0","0"
"test14","ok","116.99","2026-05-30 00:41:17","","53122","52817","305","13","13","13","13","true","0","0","0"
"test15","ok","208.25","2026-05-30 00:44:45","","44747","44443","304","14","14","14","14","true","0","0","0"
"test16","ok","175.53","2026-05-30 00:47:41","","40423","39551","872","15","15","15","15","true","0","0","0"
"test17","ok","81.62","2026-05-30 00:49:03","","51883","51000","883","16","16","16","16","true","0","0","0"
"test18","ok","97.82","2026-05-30 00:50:40","","69354","68970","384","17","17","17","17","true","0","0","0"
"test19","ok","259.86","2026-05-30 00:55:00","","67838","66722","1116","18","18","18","18","true","0","0","0"
"test20","ok","81.94","2026-05-30 00:56:22","","77790","76145","1645","19","19","19","19","true","0","0","0"
"test21","ok","8.73","2026-05-30 00:56:31","","10027","9948","79","5","5","5","5","true","0","0","0"
"test22","ok","13.25","2026-05-30 00:56:44","","13790","13699","91","6","6","6","6","true","0","0","0"
"test23","ok","11.5","2026-05-30 00:56:56","","16854","16750","104","7","7","7","7","true","0","0","0"
"test24","ok","119.54","2026-05-30 00:58:56","","21104","20976","128","8","8","8","8","true","0","0","0"
"test25","ok","160.53","2026-05-30 01:01:36","","22928","22774","154","9","9","9","9","true","0","0","0"
"test26","ok","21.53","2026-05-30 01:01:58","","28627","28466","161","10","10","10","10","true","0","0","0"
"test27","ok","34.55","2026-05-30 01:02:32","","31733","31551","182","11","11","11","11","true","0","0","0"
"test28","ok","33.97","2026-05-30 01:03:06","","28666","28504","162","10","10","10","10","true","0","0","0"
"test29","ok","24.71","2026-05-30 01:03:31","","32502","32327","175","11","11","11","11","true","0","0","0"
"test30","ok","21.93","2026-05-30 01:03:53","","31575","31400","175","11","11","11","11","true","0","0","0"
"test31","ok","40.85","2026-05-30 01:04:34","","82558","82158","400","20","20","20","20","true","0","0","0"
"test32","ok","46.9","2026-05-30 01:05:21","","89124","88676","448","20","20","20","20","true","0","0","0"
