"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test23","ok","15.54","2026-06-01 19:04:38","","11470","11369","101","7","7","7","7","true","0","0","0"
"test27","ok","46.67","2026-06-01 19:05:24","","21180","21004","176","11","11","11","11","true","0","0","0"
"test28","ok","62.27","2026-06-01 19:06:27","","18214","18061","153","10","10","10","10","true","0","0","0"
